ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
123.8468910,-38.9898402,08h15m23.25s,-38d59m23.42s,0.0361,0.0403,-0.0144,11.253,0.018,61.8,7.383,10.870,0.021,52.8,2.418,1,0,0000,AA,5,58436.11258998,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.539902,258.382946
123.8468878,-38.9897956,08h15m23.25s,-38d59m23.26s,0.0424,0.0447,-0.0155,11.263,0.020,54.1,7.501,10.767,0.029,38.0,3.553,1,0,0000,AA,10,58957.95143120,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.540296,275.505821
123.8468878,-38.9898346,08h15m23.25s,-38d59m23.40s,0.0383,0.0382,-0.0152,11.257,0.018,59.0,8.288,10.939,0.022,49.3,2.325,1,0,0000,AA,5,58594.59158607,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.545039,260.648916
123.8468983,-38.9898655,08h15m23.26s,-38d59m23.52s,0.0426,0.0473,-0.0143,11.326,0.020,53.2,10.830,11.129,0.027,40.0,2.761,1,0,0000,AA,5,59168.44017052,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.546269,248.54599
123.8468903,-38.9898468,08h15m23.25s,-38d59m23.45s,0.0357,0.0399,-0.0024,11.198,0.019,58.0,12.840,10.900,0.021,51.3,2.896,1,0,0000,AA,5,58800.30888679,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.54709,255.986171
123.8468928,-38.9898548,08h15m23.25s,-38d59m23.48s,0.0384,0.0416,0.0070,11.312,0.020,54.4,7.655,11.011,0.024,46.0,2.506,1,0,0000,AA,5,58226.72583870,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.548073,252.886435
123.8469035,-38.9898769,08h15m23.26s,-38d59m23.56s,0.0385,0.0429,-0.0160,11.201,0.021,51.7,12.260,10.897,0.023,46.4,5.674,1,0,0000,AA,5,58437.29097640,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.549467,244.003338
123.8468854,-38.9898314,08h15m23.25s,-38d59m23.39s,0.0376,0.0416,-0.0161,11.325,0.018,61.1,7.572,11.107,0.023,48.2,2.354,1,0,0000,AA,5,59167.39396203,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.54994,261.94698
123.8468902,-38.9898502,08h15m23.25s,-38d59m23.46s,0.0399,0.0444,0.0122,11.400,0.022,50.3,14.350,11.175,0.023,46.5,3.877,1,0,0000,AA,5,59531.41298539,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.550446,254.756998
123.8468836,-38.9898343,08h15m23.25s,-38d59m23.40s,0.0413,0.0412,-0.0086,11.273,0.019,56.9,4.934,10.895,0.024,45.5,2.001,1,0,0000,AA,10,58958.40921083,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.556472,260.955247
